scenario_index,frame_index,source_available,primary_action,guarded_action,obj_removed,missing_recovered,missing_candidates,missing_gt,missing_tp,missing_fp,EgoOnly_wp_coll,EgoOnly_warned,EgoOnly_geom,EgoOnly_mod,EgoOnly_agents,CleanCoop_wp_coll,CleanCoop_warned,CleanCoop_geom,CleanCoop_mod,CleanCoop_agents,RealPrimaryRaw_wp_coll,RealPrimaryRaw_warned,RealPrimaryRaw_geom,RealPrimaryRaw_mod,RealPrimaryRaw_agents,RealPrimaryTrustCalib_wp_coll,RealPrimaryTrustCalib_warned,RealPrimaryTrustCalib_geom,RealPrimaryTrustCalib_mod,RealPrimaryTrustCalib_agents,RealMultiEvidenceGuard_wp_coll,RealMultiEvidenceGuard_warned,RealMultiEvidenceGuard_geom,RealMultiEvidenceGuard_mod,RealMultiEvidenceGuard_agents,guard_minus_ego_wp_coll,guard_minus_clean_wp_coll
24,8,4,accept,accept,0,0,0,20,0,0,0,1,1,0.1,29,0,1,1,0.1,49,0,1,1,0.1,29,0,1,1,0.1,29,0,1,1,0.1,29,0,0
24,9,4,accept,accept,0,0,0,20,0,0,0,1,1,0.1,28,0,1,1,0.1,49,0,1,1,0.1,29,0,1,1,0.1,29,0,1,1,0.1,29,0,0
24,10,4,accept,accept,0,0,0,19,0,0,0,1,1,0.1,29,0,1,1,0.1,49,0,1,1,0.1,30,0,1,1,0.1,30,0,1,1,0.1,30,0,0
24,11,4,accept,accept,0,0,0,18,0,0,0,1,1,0.1,29,0,1,1,0.1,49,0,1,1,0.1,31,0,1,1,0.1,31,0,1,1,0.1,31,0,0
24,12,4,accept,accept,0,0,0,20,0,0,0,1,1,0.1,26,0,1,1,0.1,49,0,1,1,0.1,29,0,1,1,0.1,29,0,1,1,0.1,29,0,0
24,13,4,accept,accept,0,0,0,19,0,0,0,1,2,0.2,28,0,1,2,0.2,49,0,1,2,0.2,30,0,1,2,0.2,30,0,1,2,0.2,30,0,0
24,14,4,accept,accept,0,0,0,19,0,0,0,1,3,0.3,28,0,1,3,0.3,49,0,1,3,0.3,30,0,1,3,0.3,30,0,1,3,0.3,30,0,0
24,15,4,accept,accept,0,0,0,19,0,0,0,1,2,0.2,27,0,1,2,0.2,49,0,1,2,0.2,30,0,1,2,0.2,30,0,1,2,0.2,30,0,0
24,16,4,accept,accept,0,0,0,19,0,0,0,1,2,0.2,28,0,1,2,0.2,49,0,1,2,0.2,30,0,1,2,0.2,30,0,1,2,0.2,30,0,0
24,17,4,accept,accept,0,0,0,19,0,0,0,1,2,0.2,27,0,1,2,0.2,49,0,1,2,0.2,30,0,1,2,0.2,30,0,1,2,0.2,30,0,0
