mode,support_modes,scenario_index,frame_index,method,wp_coll,wp_total,warned,avg_mod,geom,p_coll,report_action,obj_removed,fake_seen,fake_removed,real_removed,missing_candidates,missing_recovered,missing_gt,missing_recovery_tp,missing_recovery_fp,smooth_agents
fake_front,clean+fake_front,7,14,CleanCoop,0,10,1,0.6,6,0.15920035541057587,,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,7,14,PrimaryRaw,0,10,1,1.0,10,0.15920035541057587,,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,7,14,PrimaryTrustCalib,0,10,1,1.0,10,0.15920035541057587,accept,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,7,14,MultiPeerObjectGuard,0,10,1,1.0,10,0.15920035541057587,accept,0,1,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,7,15,EgoOnly,1,10,1,0.5,5,0.18329863250255585,,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,7,15,CleanCoop,0,10,1,0.7,7,0.20441308617591858,,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,7,15,PrimaryRaw,0,10,1,1.0,10,0.20441308617591858,,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,7,15,PrimaryTrustCalib,0,10,1,1.0,10,0.20441308617591858,accept,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,7,15,MultiPeerObjectGuard,0,10,1,1.0,10,0.20441308617591858,accept,0,1,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,7,16,EgoOnly,1,10,1,0.5,5,0.19117328524589539,,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,7,16,CleanCoop,0,10,1,0.7,7,0.20684880018234253,,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,7,16,PrimaryRaw,0,10,1,1.0,10,0.20684880018234253,,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,7,16,PrimaryTrustCalib,0,10,1,1.0,10,0.20684880018234253,accept,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,7,16,MultiPeerObjectGuard,0,10,1,1.0,10,0.20684880018234253,accept,0,1,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,7,17,EgoOnly,1,10,1,0.5,5,0.19794540107250214,,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,7,17,CleanCoop,0,10,1,0.7,7,0.20986764132976532,,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,7,17,PrimaryRaw,0,10,1,1.0,10,0.20986764132976532,,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,7,17,PrimaryTrustCalib,0,10,1,1.0,10,0.20986764132976532,accept,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,7,17,MultiPeerObjectGuard,0,10,1,1.0,10,0.20986764132976532,accept,0,1,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,7,18,EgoOnly,1,10,1,0.5,5,0.224675253033638,,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,7,18,CleanCoop,0,10,1,0.7,7,0.20929524302482605,,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,7,18,PrimaryRaw,0,10,1,1.0,10,0.20929524302482605,,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,7,18,PrimaryTrustCalib,0,10,1,1.0,10,0.20929524302482605,accept,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,7,18,MultiPeerObjectGuard,0,10,1,1.0,10,0.20929524302482605,accept,0,1,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,7,19,EgoOnly,0,10,1,0.4,4,0.23677147924900055,,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,7,19,CleanCoop,0,10,1,0.5,5,0.22360484302043915,,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,7,19,PrimaryRaw,0,10,1,1.0,10,0.22360484302043915,,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,7,19,PrimaryTrustCalib,0,10,1,1.0,10,0.22360484302043915,accept,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,7,19,MultiPeerObjectGuard,0,10,1,0.6,6,0.22360484302043915,accept,0,1,0,0,0,0,0,0,0,1
fake_front,clean+fake_front,12,0,EgoOnly,0,10,0,0.0,0,0.15281367301940918,,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,12,0,CleanCoop,0,10,0,0.0,0,0.12016486376523972,,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,12,0,PrimaryRaw,0,10,1,1.0,10,0.12016486376523972,,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,12,0,PrimaryTrustCalib,0,10,1,1.0,10,0.12016486376523972,accept,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,12,0,MultiPeerObjectGuard,0,10,1,1.0,10,0.12016486376523972,accept,0,1,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,12,1,EgoOnly,0,10,0,0.0,0,0.1570848822593689,,0,0,0,0,0,0,0,0,0,0
fake_front,clean+fake_front,12,1,CleanCoop,0,10,0,0.0,0,0.11925899237394333,,0,0,0,0,0,0,0,0,0,0
