scenario,method,truth_collision_step,collision,first_collision,overlap,collision_pairs,first_overlap,overlap_count,first_warning,severity,wp_coll,wp_total,warning_frames,frames
BS3_nonblind_rand42,Hybrid+AND+TTC+RearEscape-thr0.30,49,0,-1,0,,-1,0,22,0.0,0,2200,12,220
BS4_blind_rand42,NoCon-egoonly,50,1,50,1,attacker+ego,48,1,-1,0.1999999999999993,40,960,0,96
BS4_blind_rand42,NoCon-coop,50,1,50,1,attacker+ego,48,1,-1,0.1999999999999993,40,960,0,96
BS4_blind_rand42,RSS-coop,50,0,-1,0,,-1,0,12,0.0,0,2200,135,220
BS4_blind_rand42,UniE2EV2X-coop,50,0,-1,0,,-1,0,37,0.0,0,2200,3,220
BS4_blind_rand42,MAP-coop,50,0,-1,0,,-1,0,45,0.0,0,2110,2,211
BS4_blind_rand42,RiskMM-coop,50,0,-1,0,,-1,0,26,0.0,0,2200,194,220
BS4_blind_rand42,Hybrid-V1Only-thr0.30,50,0,-1,0,,-1,0,12,0.0,0,2200,75,220
BS4_blind_rand42,Hybrid-GeomOnly,50,0,-1,0,,-1,0,45,0.0,0,2200,1,220
BS4_blind_rand42,Hybrid-Geom+TTC,50,0,-1,0,,-1,0,26,0.0,0,2200,163,220
BS4_blind_rand42,Hybrid-thr0.30,50,0,-1,0,,-1,0,12,0.0,0,2200,70,220
BS4_blind_rand42,Hybrid+AND-thr0.30,50,0,-1,0,,-1,0,45,0.0,0,2200,1,220
BS4_blind_rand42,Hybrid+AND+TTC-thr0.30,50,0,-1,0,,-1,0,26,0.0,0,2200,163,220
BS4_blind_rand42,Hybrid+AND+TTC+RearAware-thr0.30,50,0,-1,0,,-1,0,26,0.0,0,2200,171,220
BS4_blind_rand42,Hybrid+AND+TTC+MinHarm-thr0.30,50,0,-1,0,,-1,0,26,0.0,0,2200,189,220
BS4_blind_rand42,Hybrid+AND+TTC+RearEscape-thr0.30,50,0,-1,0,,-1,0,26,0.0,0,2200,173,220
BS4_nonblind_rand42,NoCon-egoonly,50,1,50,1,attacker+ego,48,1,-1,0.1999999999999993,40,960,0,96
BS4_nonblind_rand42,NoCon-coop,50,1,50,1,attacker+ego,48,1,-1,0.1999999999999993,40,960,0,96
BS4_nonblind_rand42,RSS-coop,50,0,-1,0,,-1,0,12,0.0,46,2200,116,220
BS4_nonblind_rand42,UniE2EV2X-coop,50,0,-1,0,,-1,0,37,0.0,25,2200,182,220
BS4_nonblind_rand42,MAP-coop,50,0,-1,0,,-1,0,45,0.0,1,2200,35,220
BS4_nonblind_rand42,RiskMM-coop,50,0,-1,0,,-1,0,22,0.0,55,2200,175,220
BS4_nonblind_rand42,Hybrid-V1Only-thr0.30,50,0,-1,0,,-1,0,12,0.0,53,2200,107,220
BS4_nonblind_rand42,Hybrid-GeomOnly,50,0,-1,0,,-1,0,45,0.0,0,2200,58,220
BS4_nonblind_rand42,Hybrid-Geom+TTC,50,0,-1,0,,-1,0,22,0.0,0,2200,91,220
BS4_nonblind_rand42,Hybrid-thr0.30,50,0,-1,0,,-1,0,12,0.0,0,2200,106,220
BS4_nonblind_rand42,Hybrid+AND-thr0.30,50,0,-1,0,,-1,0,45,0.0,0,2200,58,220
BS4_nonblind_rand42,Hybrid+AND+TTC-thr0.30,50,0,-1,0,,-1,0,22,0.0,0,2200,91,220
BS4_nonblind_rand42,Hybrid+AND+TTC+RearAware-thr0.30,50,0,-1,0,,-1,0,22,0.0,0,2200,90,220
BS4_nonblind_rand42,Hybrid+AND+TTC+MinHarm-thr0.30,50,0,-1,0,,-1,0,22,0.0,0,2200,72,220
BS4_nonblind_rand42,Hybrid+AND+TTC+RearEscape-thr0.30,50,0,-1,0,,-1,0,22,0.0,0,2200,75,220
